
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
Outros (18 itens);748;2.28%
Sigiloso;14494;44.09%
TOTAL GERAL;32873;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;10379;16.44%
NOTRE DAME INTERMEDICA SAUDE S.A.;2946;4.67%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;2849;4.51%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;2665;4.22%
BRADESCO SAUDE S/A;2231;3.53%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;1567;2.48%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;862;1.37%
SUL AMERICA SERVICOS DE SAUDE S/A;819;1.30%
SECRETARIA DE ESTADO DA SAUDE;718;1.14%
HAPVIDA ASSISTENCIA MEDICA S.A.;556;0.88%
Outros (3055 itens);23032;36.49%
Sigiloso;14494;22.96%
TOTAL GERAL;63118;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;15223;24.12%
ESTADO OU DISTRITO FEDERAL;10379;16.44%
MUNICIPIO;9572;15.17%
COOPERATIVA;4636;7.34%
SOCIEDADE EMPRESARIA LIMITADA;2940;4.66%
ASSOCIACAO PRIVADA;1597;2.53%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1231;1.95%
ND;874;1.38%
SOCIEDADE ANONIMA ABERTA;571;0.90%
FUNDACAO PRIVADA;525;0.83%
Outros (30 itens);1076;1.70%
Sigiloso;14494;22.96%
TOTAL GERAL;63118;100.00%




=== REGIONAL SE_TJSP_CN_3-4 - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;1025;40.31%
12487;256;10.07%
12484;250;9.83%
12488;184;7.24%
11811;117;4.60%
12486;89;3.50%
12495;78;3.07%
12494;68;2.67%
12490;51;2.01%
12503;47;1.85%
Outros (67 itens);378;14.86%
TOTAL GERAL;2543;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;36;3.95%
ESTADO DE SAO PAULO;36;3.95%
JUIZO EX OFFICIO;29;3.18%
CL2 EMPREENDIMENTOS E PARTICIPACOES LTDA;25;2.74%
UNIMED CAMPINAS COOPERATIVA DE TRABALHO MEDICO;23;2.52%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;20;2.19%
NOTRE DAME INTERMEDICA SAUDE S.A.;20;2.19%
BRADESCO SAUDE S/A;12;1.32%
SAO FRANCISCO SISTEMAS DE SAUDE SOCIEDADE EMPRESARIA LIMITADA;7;0.77%
SUL AMERICA SERVICOS DE SAUDE S/A;6;0.66%
Outros (132 itens);197;21.60%
Sigiloso;501;54.93%
TOTAL GERAL;912;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;118;12.94%
SOCIEDADE EMPRESARIA LIMITADA;81;8.88%
COOPERATIVA;76;8.33%
ND;37;4.06%
ESTADO OU DISTRITO FEDERAL;36;3.95%
ASSOCIACAO PRIVADA;21;2.30%
MUNICIPIO;19;2.08%
FUNDACAO PRIVADA;5;0.55%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5;0.55%
EMPRESARIO (INDIVIDUAL);4;0.44%
Outros (5 itens);9;0.99%
Sigiloso;501;54.93%
TOTAL GERAL;912;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;291;12.72%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;149;6.51%
NOTRE DAME INTERMEDICA SAUDE S.A.;136;5.94%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;109;4.76%
BRADESCO SAUDE S/A;74;3.23%
UNIMED CAMPINAS COOPERATIVA DE TRABALHO MEDICO;58;2.53%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;41;1.79%
SUL AMERICA SERVICOS DE SAUDE S/A;37;1.62%
HAPVIDA ASSISTENCIA MEDICA S.A.;27;1.18%
QUALICORP ADMINISTRADORA DE BENEFICIOS S.A.;25;1.09%
Outros (368 itens);840;36.71%
Sigiloso;501;21.90%
TOTAL GERAL;2288;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;636;27.80%
ESTADO OU DISTRITO FEDERAL;291;12.72%
MUNICIPIO;266;11.63%
COOPERATIVA;263;11.49%
ASSOCIACAO PRIVADA;104;4.55%
SOCIEDADE EMPRESARIA LIMITADA;97;4.24%
ND;34;1.49%
FUNDACAO PRIVADA;28;1.22%
SOCIEDADE ANONIMA ABERTA;27;1.18%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;18;0.79%
Outros (8 itens);23;1.01%
Sigiloso;501;21.90%
TOTAL GERAL;2288;100.00%




=== REGIONAL SE_TJSP_CN_4-4 - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;1094;40.65%
12487;260;9.66%
12488;214;7.95%
12484;187;6.95%
11811;153;5.69%
12495;123;4.57%
12494;114;4.24%
12490;60;2.23%
10671;51;1.90%
12503;46;1.71%
Outros (68 itens);389;14.46%
TOTAL GERAL;2691;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DE SAO PAULO;5;0.90%
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;3;0.54%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;2;0.36%
ASSOCIACAO DE BENEFICENCIA E FILANTROPIA SAO CRISTOVAO;2;0.36%
SAO PAULO TRIBUNAL DE JUSTICA;2;0.36%
CLINICA SANDRA MENDEL LTDA;1;0.18%
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;1;0.18%
MUNICIPIO DE VIRADOURO;1;0.18%
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS;1;0.18%
EDEM CENTRO DIA E HOSPITALIDADE LTDA;1;0.18%
Outros (48 itens);48;8.60%
Sigiloso;491;87.99%
TOTAL GERAL;558;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE EMPRESARIA LIMITADA;29;5.20%
ASSOCIACAO PRIVADA;6;1.08%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;5;0.90%
SOCIEDADE ANONIMA FECHADA;5;0.90%
SOCIEDADE ANONIMA ABERTA;3;0.54%
EMPRESARIO (INDIVIDUAL);3;0.54%
SOCIEDADE SIMPLES LIMITADA;3;0.54%
COOPERATIVA;2;0.36%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;2;0.36%
MUNICIPIO;2;0.36%
Outros (6 itens);7;1.25%
Sigiloso;491;87.99%
TOTAL GERAL;558;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SAO PAULO;328;12.95%
NOTRE DAME INTERMEDICA SAUDE S.A.;184;7.26%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;145;5.72%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;90;3.55%
UNIMED CAMPINAS COOPERATIVA DE TRABALHO MEDICO;69;2.72%
BRADESCO SAUDE S/A;69;2.72%
FUNDACAO CESP;51;2.01%
SAO FRANCISCO SISTEMAS DE SAUDE SOCIEDADE EMPRESARIA LIMITADA;44;1.74%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;40;1.58%
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;35;1.38%
Outros (373 itens);987;38.97%
Sigiloso;491;19.38%
TOTAL GERAL;2533;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
SOCIEDADE ANONIMA FECHADA;639;25.23%
ESTADO OU DISTRITO FEDERAL;328;12.95%
MUNICIPIO;292;11.53%
COOPERATIVA;278;10.98%
SOCIEDADE EMPRESARIA LIMITADA;148;5.84%
ASSOCIACAO PRIVADA;126;4.97%
FUNDACAO PRIVADA;72;2.84%
SOCIEDADE ANONIMA ABERTA;64;2.53%
ND;57;2.25%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;16;0.63%
Outros (8 itens);22;0.87%
Sigiloso;491;19.38%
TOTAL GERAL;2533;100.00%




=== REGIONAL SU_TJPR_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12487;6151;28.19%
12489;3345;15.33%
12492;1942;8.90%
12500;1044;4.78%
12501;902;4.13%
10671;640;2.93%
12416;610;2.80%
12496;563;2.58%
12495;552;2.53%
12490;519;2.38%
Outros (154 itens);5553;25.45%
TOTAL GERAL;21821;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DO PARANA;1993;17.98%
ESTADO DO PARANA;792;7.14%
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS;370;3.34%
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;148;1.34%
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MEDICO;93;0.84%
MUNICIPIO DE UMUARAMA;83;0.75%
UNIMED REGIONAL MARINGA - COOPERATIVA DE TRABALHO MEDICO;79;0.71%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;71;0.64%
BRADESCO SAUDE S/A;44;0.40%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;43;0.39%
Outros (356 itens);1173;10.58%
Sigiloso;6196;55.90%
TOTAL GERAL;11085;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;2002;18.06%
COOPERATIVA;800;7.22%
ESTADO OU DISTRITO FEDERAL;792;7.14%
MUNICIPIO;437;3.94%
SOCIEDADE EMPRESARIA LIMITADA;296;2.67%
SOCIEDADE ANONIMA FECHADA;259;2.34%
ASSOCIACAO PRIVADA;97;0.88%
AUTARQUIA MUNICIPAL;42;0.38%
FUNDACAO PRIVADA;36;0.32%
ND;34;0.31%
Outros (19 itens);94;0.85%
Sigiloso;6196;55.90%
TOTAL GERAL;11085;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO PARANA;4698;25.76%
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MEDICOS;750;4.11%
MINISTERIO PUBLICO DO ESTADO DO PARANA;464;2.54%
MUNICIPIO DE UMUARAMA;275;1.51%
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MEDICO;209;1.15%
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;209;1.15%
MUNICIPIO DE CURITIBA;169;0.93%
UNIMED REGIONAL MARINGA - COOPERATIVA DE TRABALHO MEDICO;168;0.92%
MUNICIPIO DE FOZ DO IGUACU;148;0.81%
UNIMED DO ESTADO DO PARANA - FEDERACAO ESTADUAL DAS COOPERATIVAS MEDICAS;116;0.64%
Outros (752 itens);4835;26.51%
Sigiloso;6196;33.97%
TOTAL GERAL;18237;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;4698;25.76%
MUNICIPIO;2977;16.32%
COOPERATIVA;1942;10.65%
SOCIEDADE EMPRESARIA LIMITADA;508;2.79%
SOCIEDADE ANONIMA FECHADA;501;2.75%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;465;2.55%
ASSOCIACAO PRIVADA;238;1.31%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;115;0.63%
AUTARQUIA MUNICIPAL;111;0.61%
ND;109;0.60%
Outros (26 itens);377;2.07%
Sigiloso;6196;33.97%
TOTAL GERAL;18237;100.00%




=== REGIONAL SU_TJRS_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12494;22083;22.01%
12495;18019;17.96%
12500;10094;10.06%
12503;7199;7.17%
12489;6622;6.60%
12508;5239;5.22%
12496;3703;3.69%
12487;3495;3.48%
12416;2734;2.72%
12505;1626;1.62%
Outros (365 itens);19538;19.47%
TOTAL GERAL;100352;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO SUL;2890;8.66%
RIO GRANDE DO SUL PROCURADORIA GERAL DE JUSTICA;458;1.37%
UNIMED PORTO ALEGRE - COOPERATIVA MEDICA LTDA;354;1.06%
INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES PUBLICOS DO RIO GRANDE DO SUL;317;0.95%
RIO GRANDE DO SUL DEFENSORIA PUBLICA DO ESTADO DO RS;291;0.87%
MUNICIPIO DO RIO GRANDE;137;0.41%
CENTRO CLINICO GAUCHO LTDA;118;0.35%
MUNICIPIO DE BENTO GONCALVES;108;0.32%
UNIMED - COOPERATIVA DE SERVICOS DE SAUDE DOS VALES DO TAQUARI E RIO PARDO LTDA.;101;0.30%
ASSOCIACAO HOSPITALAR MOINHOS DE VENTO;87;0.26%
Outros (486 itens);2343;7.02%
Sigiloso;26163;78.41%
TOTAL GERAL;33367;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;2890;8.66%
MUNICIPIO;1294;3.88%
COOPERATIVA;907;2.72%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;751;2.25%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;342;1.02%
ASSOCIACAO PRIVADA;331;0.99%
SOCIEDADE EMPRESARIA LIMITADA;272;0.82%
SOCIEDADE ANONIMA FECHADA;217;0.65%
SOCIEDADE SIMPLES PURA;65;0.19%
FUNDACAO PRIVADA;36;0.11%
Outros (14 itens);99;0.30%
Sigiloso;26163;78.41%
TOTAL GERAL;33367;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO SUL;39543;41.24%
INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES PUBLICOS DO RIO GRANDE DO SUL;2383;2.49%
UNIMED PORTO ALEGRE - COOPERATIVA MEDICA LTDA;1022;1.07%
MUNICIPIO DE PORTO ALEGRE;877;0.91%
MUNICIPIO DE PELOTAS;721;0.75%
MUNICIPIO DE CAXIAS DO SUL;703;0.73%
MUNICIPIO DO RIO GRANDE;603;0.63%
MUNICIPIO DE GRAVATAI;576;0.60%
ADVOCACIA GERAL DA UNIAO;566;0.59%
MUNICIPIO DE VIAMAO;550;0.57%
Outros (959 itens);22178;23.13%
Sigiloso;26163;27.29%
TOTAL GERAL;95885;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;39545;41.24%
MUNICIPIO;21378;22.30%
COOPERATIVA;2912;3.04%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;2700;2.82%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;777;0.81%
ASSOCIACAO PRIVADA;707;0.74%
SOCIEDADE ANONIMA FECHADA;607;0.63%
SOCIEDADE EMPRESARIA LIMITADA;563;0.59%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;106;0.11%
FUNDACAO PRIVADA;94;0.10%
Outros (24 itens);333;0.35%
Sigiloso;26163;27.29%
TOTAL GERAL;95885;100.00%




=== REGIONAL SU_TJSC_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;3252;11.37%
12492;3042;10.63%
12486;2869;10.03%
12495;2698;9.43%
12491;1775;6.21%
12487;1694;5.92%
12496;1340;4.68%
12494;1149;4.02%
12508;1104;3.86%
12485;700;2.45%
Outros (249 itens);8982;31.40%
TOTAL GERAL;28605;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ESTADO DE SANTA CATARINA;972;7.97%
SANTA CATARINA DEFENSORIA PUBLICA;344;2.82%
MINISTERIO PUBLICO DO ESTADO DE SANTA CATARINA PROCURADORIA GERAL DE JUSTICA;332;2.72%
UNIMED GRANDE FLORIANOPOLIS - COOPERATIVA DE TRABALHO MEDICO;320;2.62%
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;138;1.13%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;100;0.82%
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;75;0.61%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;66;0.54%
UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MEDICO;64;0.52%
MUNICIPIO DE JOINVILLE;63;0.52%
Outros (468 itens);1563;12.82%
Sigiloso;8159;66.90%
TOTAL GERAL;12196;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;971;7.96%
COOPERATIVA;813;6.67%
MUNICIPIO;489;4.01%
SOCIEDADE EMPRESARIA LIMITADA;361;2.96%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;344;2.82%
SOCIEDADE ANONIMA FECHADA;336;2.76%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;332;2.72%
SOCIEDADE SIMPLES PURA;143;1.17%
ASSOCIACAO PRIVADA;93;0.76%
FUNDACAO PRIVADA;44;0.36%
Outros (14 itens);111;0.91%
Sigiloso;8159;66.90%
TOTAL GERAL;12196;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE SANTA CATARINA;6766;28.54%
UNIMED GRANDE FLORIANOPOLIS - COOPERATIVA DE TRABALHO MEDICO;720;3.04%
MUNICIPIO DE FLORIANOPOLIS;463;1.95%
MUNICIPIO DE JOINVILLE;344;1.45%
ADVOCACIA GERAL DA UNIAO;274;1.16%
MUNICIPIO DE ITAJAI;238;1.00%
CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;195;0.82%
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;177;0.75%
UNIMED DO ESTADO DE SANTA CATARINA FEDERACAO ESTADUAL DAS COOPERATIVAS MEDICAS;173;0.73%
BRADESCO SAUDE S/A;173;0.73%
Outros (679 itens);6025;25.41%
Sigiloso;8159;34.42%
TOTAL GERAL;23707;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;6776;28.58%
MUNICIPIO;4069;17.16%
COOPERATIVA;2241;9.45%
SOCIEDADE ANONIMA FECHADA;740;3.12%
SOCIEDADE EMPRESARIA LIMITADA;577;2.43%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;307;1.29%
ASSOCIACAO PRIVADA;273;1.15%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;152;0.64%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;124;0.52%
FUNDACAO PRIVADA;83;0.35%
Outros (22 itens);206;0.87%
Sigiloso;8159;34.42%
TOTAL GERAL;23707;100.00%




=== REGIONAL TRFS_TRF1_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12495;2710;16.22%
12514;2498;14.95%
12496;2216;13.26%
12494;1555;9.31%
12487;855;5.12%
12493;807;4.83%
12484;693;4.15%
12503;654;3.91%
12500;411;2.46%
12489;383;2.29%
Outros (241 itens);3924;23.49%
TOTAL GERAL;16706;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PRESIDENCIA DA REPUBLICA;2864;28.84%
COMANDO DA MARINHA;1671;16.83%
ESTADO DE GOIAS;300;3.02%
ESTADO DE RONDONIA;215;2.17%
1 BATALHAO DE ENGENHARIA DE CONSTRUCAO;215;2.17%
ESTADO DA BAHIA;191;1.92%
SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS;179;1.80%
SECRETARIA DO MEIO AMBIENTE;119;1.20%
SUPERINTENDENCIA ESTADUAL DE GESTAO DE PESSOAS - SEGEP;94;0.95%
SECRETARIA DE ESTADO DO PLANEJAMENTO  ORCAMENTO E GESTAO - SEPOG;83;0.84%
Outros (2100 itens);3681;37.07%
Sigiloso;317;3.19%
TOTAL GERAL;9929;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;4804;48.38%
ESTADO OU DISTRITO FEDERAL;984;9.91%
MUNICIPIO;965;9.72%
ASSOCIACAO PRIVADA;801;8.07%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;710;7.15%
SOCIEDADE EMPRESARIA LIMITADA;541;5.45%
ND;163;1.64%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;103;1.04%
FUNDACAO PRIVADA;76;0.77%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;74;0.75%
Outros (27 itens);391;3.94%
Sigiloso;317;3.19%
TOTAL GERAL;9929;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
PRESIDENCIA DA REPUBLICA;9033;27.80%
MINISTERIO DA FAZENDA;4484;13.80%
ESTADO DA BAHIA;1914;5.89%
ESTADO DE GOIAS;1508;4.64%
COMANDO DA MARINHA;1054;3.24%
BAHIA TRIBUNAL DE JUSTICA;911;2.80%
TAB.DE NOTAS  PROT. DE TITULOS REG. DE IMOVEIS  REG. DE TIT. E DOC.REG.CIVIL DE PESSOAS JURIDICAS E CIVIL PESSOAS N;709;2.18%
1 BATALHAO DE ENGENHARIA DE CONSTRUCAO;670;2.06%
MUNICIPIO DE SALVADOR;618;1.90%
ESTADO DO PARA;509;1.57%
Outros (1641 itens);10768;33.14%
Sigiloso;317;0.98%
TOTAL GERAL;32495;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;15503;47.71%
ESTADO OU DISTRITO FEDERAL;5887;18.12%
MUNICIPIO;3532;10.87%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1927;5.93%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;1259;3.87%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;948;2.92%
SERVICO NOTARIAL E REGISTRAL (CARTORIO);709;2.18%
ND;607;1.87%
SOCIEDADE EMPRESARIA LIMITADA;359;1.10%
ASSOCIACAO PRIVADA;335;1.03%
Outros (30 itens);1112;3.42%
Sigiloso;317;0.98%
TOTAL GERAL;32495;100.00%




=== REGIONAL TRFS_TRF2_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;2268;25.30%
12491;854;9.53%
12500;774;8.64%
12485;745;8.31%
12511;542;6.05%
12483;477;5.32%
12495;338;3.77%
12501;324;3.61%
12492;271;3.02%
12496;260;2.90%
Outros (186 itens);2110;23.54%
TOTAL GERAL;8963;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;936;43.82%
ESTADO DO RIO DE JANEIRO;255;11.94%
MUNICIPIO DE RIO DE JANEIRO;82;3.84%
NUCLEBRAS EQUIPAMENTOS PESADOS S/A NUCLEP;81;3.79%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;67;3.14%
ESTADO DO ESPIRITO SANTO;65;3.04%
MUNICIPIO DE NITEROI;43;2.01%
MINISTERIO PUBLICO FEDERAL;29;1.36%
MINISTERIO PUBLICO DA UNIAO;23;1.08%
DEFENSORIA PUBLICA DA UNIAO;21;0.98%
Outros (161 itens);268;12.55%
Sigiloso;266;12.45%
TOTAL GERAL;2136;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;938;43.91%
ESTADO OU DISTRITO FEDERAL;320;14.98%
MUNICIPIO;177;8.29%
EMPRESA PUBLICA;102;4.78%
AUTARQUIA FEDERAL;91;4.26%
SOCIEDADE EMPRESARIA LIMITADA;48;2.25%
ORGAO PUBLICO AUTONOMO FEDERAL;44;2.06%
COOPERATIVA;35;1.64%
NATUREZA JURIDICA NAO INFORMADA;29;1.36%
SOCIEDADE ANONIMA FECHADA;25;1.17%
Outros (12 itens);61;2.86%
Sigiloso;266;12.45%
TOTAL GERAL;2136;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;5356;34.18%
ESTADO DO RIO DE JANEIRO;4413;28.16%
MUNICIPIO DE RIO DE JANEIRO;2829;18.05%
ESTADO DO ESPIRITO SANTO;456;2.91%
MUNICIPIO DE SAO GONCALO;419;2.67%
MUNICIPIO DE NITEROI;181;1.16%
MUNICIPIO DE DUQUE DE CAXIAS;106;0.68%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;99;0.63%
MUNICIPIO DE LINHARES;82;0.52%
MUNICIPIO DE NOVA IGUACU;71;0.45%
Outros (258 itens);1392;8.88%
Sigiloso;266;1.70%
TOTAL GERAL;15670;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;5497;35.08%
ESTADO OU DISTRITO FEDERAL;4870;31.08%
MUNICIPIO;4494;28.68%
AUTARQUIA FEDERAL;195;1.24%
EMPRESA PUBLICA;84;0.54%
COOPERATIVA;40;0.26%
SOCIEDADE EMPRESARIA LIMITADA;39;0.25%
SOCIEDADE ANONIMA FECHADA;37;0.24%
ASSOCIACAO PRIVADA;29;0.19%
ORGAO PUBLICO AUTONOMO FEDERAL;19;0.12%
Outros (17 itens);100;0.64%
Sigiloso;266;1.70%
TOTAL GERAL;15670;100.00%




=== REGIONAL TRFS_TRF3_CN - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12484;2116;29.46%
12492;521;7.25%
12495;468;6.52%
12496;450;6.26%
12516;394;5.49%
12493;345;4.80%
12501;243;3.38%
12487;199;2.77%
12494;192;2.67%
12491;186;2.59%
Outros (250 itens);2069;28.80%
TOTAL GERAL;7183;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;644;30.08%
SECRETARIA DE AGRICULTURA E ABASTECIMENTO;178;8.31%
AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;125;5.84%
ESTADO DE MATO GROSSO DO SUL;76;3.55%
NOTRE DAME INTERMEDICA MINAS GERAIS SAUDE S.A;37;1.73%
TRIBUNAL DE JUSTICA DO ESTADO MATO GROSSO DO SUL;34;1.59%
NOTRE DAME INTERMEDICA SAUDE S.A.;34;1.59%
TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO DO SUL;19;0.89%
MINISTERIO PUBLICO DA UNIAO;17;0.79%
CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL;17;0.79%
Outros (265 itens);619;28.91%
Sigiloso;341;15.93%
TOTAL GERAL;2141;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;649;30.31%
